id,instance_type,architecture,start_type,operation,language,iteration,execution_time_ms,avg_cpu_usage_percent,max_memory_usage_mb,avg_memory_usage_mb
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,0,13461.529796000035,99.55,79.48046875,26.901531338546206
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,1,895.126153000092,98.88,75.76171875,54.871412516211095
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,2,873.2568860000356,99.43,75.98046875,55.22043240407674
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,3,863.6623140000665,97.69,75.9375,55.62476742521826
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,4,889.0376639999431,98.31,75.73828125,54.50561849091935
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,5,878.7790220000034,98.3,75.4453125,54.501880285595455
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,6,923.6183220000385,98.92,77.921875,57.44460105151776
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,7,869.9318110000149,98.86,75.98046875,55.461254947807205
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,8,891.5177400000402,99.44,75.80859375,56.274053176892764
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,9,899.8670920000222,98.89,76.30859375,54.650722945448834
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,10,879.6361270000261,97.71,75.55859375,54.54735798535792
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,11,867.4563739999712,98.28,75.6875,55.43621545314254
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,12,886.4425329999222,98.87,78.18359375,55.56861987529437
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,13,880.0197670000216,98.87,75.734375,54.75390785026629
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,14,876.5453039999329,98.85,75.7109375,54.92690216455435
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,15,1011.7507930000329,99.5,77.9453125,53.68521163380442
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,16,868.369959000006,98.85,75.61328125,54.87106218924798
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,17,956.29365100001,98.41,77.66796875,56.4588958678727
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,18,883.4020110000438,98.87,75.5625,55.07494336005577
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,19,872.0638439999675,98.86,75.81640625,55.3280325587312
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,20,867.9941860000326,98.28,76.11328125,55.00350193762727
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,21,884.0307820000817,98.86,78.0390625,56.16117014255544
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,22,866.0649400000011,99.42,75.43359375,54.82457045703714
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,23,944.8558730000514,98.94,77.23046875,53.89216108091787
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,24,916.0602169999947,99.45,78.09765625,57.009116551389894
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,25,898.0482380000012,98.9,75.78515625,54.49633325305888
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,26,867.2427220000145,98.84,75.90234375,54.85708379301793
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,27,864.1908670000475,99.42,76.08203125,55.19032913070074
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,28,931.8449639999926,98.92,76.6875,56.66860624785445
7084c7da-8162-45cd-8a22-4486260b39a5,t4g.medium,arm,cold,aes256_decrypt,c#,29,867.3003909999579,98.28,75.5078125,54.99705940988836
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,0,6903.47125400001,100.0,78.56640625,57.56789439195128
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,1,975.3655729999764,99.48,77.82421875,56.52724679426141
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,2,894.9364899999637,98.88,78.0390625,57.04769756280813
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,3,868.1409480000184,98.84,75.83203125,55.03697507155666
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,4,880.9423950000337,99.43,75.67578125,54.726472004574234
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,5,867.0751430000792,98.3,75.8828125,55.33028580008356
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,6,886.731769999983,98.88,75.5625,54.79731316480177
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,7,890.6656490000842,98.31,75.546875,55.16868982972454
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,8,922.0660830000043,98.92,78.06640625,56.28264832659364
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,9,885.3628169999865,98.88,75.65625,55.12523480191257
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,10,878.7637530000438,98.86,75.734375,55.25726272740093
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,11,888.5077759999831,97.74,75.8046875,55.903734676007005
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,12,879.4424629999185,98.86,75.8203125,54.98957180968752
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,13,968.3726190000925,98.96,75.859375,54.85979652053955
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,14,920.9348100000625,98.37,75.71484375,55.127024326535754
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,15,873.6203820000128,99.43,75.59375,54.891519131439445
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,16,863.4744700000283,98.84,75.8046875,54.938764963326875
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,17,883.3714439999767,98.3,75.94921875,54.74989450568378
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,18,863.5235369999918,98.85,75.56640625,54.95381648842609
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,19,873.7747129999889,98.86,75.57421875,55.18777061046712
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,20,861.7883289999781,98.26,75.5625,55.480982672219085
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,21,878.4625749999577,99.43,76.0625,55.44000929688038
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,22,863.7487199999896,98.84,76.125,55.13500419023675
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,23,868.0458590000626,98.84,75.96875,55.43146148902168
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,24,868.0286119999892,98.85,76.0,54.901480285753536
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,25,866.036548000011,98.84,75.6328125,55.14413841376057
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,26,869.5109290000573,99.42,75.7734375,55.150485185440985
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,27,856.1892400000488,98.82,75.71875,55.11122033422272
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,28,929.8723599999903,98.93,76.8359375,55.70479697189603
d4ea5562-89af-465c-81f9-1c482559c53b,t4g.medium,arm,warm,aes256_decrypt,c#,29,903.6609590000353,98.34,75.734375,54.98410750994136
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,0,12433.436323000024,99.44,79.32421875,27.340583887675287
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,1,884.7210479999603,98.88,75.70703125,55.08584148964185
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,2,1081.5391429999863,99.08,78.12109375,55.57747137969937
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,3,878.1917799999519,98.86,75.55859375,54.95714747629204
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,4,881.3666070000181,98.3,75.828125,55.0198553256798
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,5,910.2827640000442,97.24,76.44140625,56.00206530705003
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,6,879.0736089999882,98.86,75.54296875,55.4422814149133
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,7,863.3671820000473,99.42,75.95703125,55.2626660297615
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,8,883.8793140000689,98.86,75.70703125,55.16514394891122
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,9,870.9543880000865,99.42,75.9765625,54.8369066939705
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,10,918.4339700000237,98.91,77.75390625,56.750277939297646
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,11,900.6966350000312,98.32,75.765625,54.30869729418442
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,12,940.0151810000352,98.94,78.30078125,57.36873583821412
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,13,871.259595999959,100.0,75.68359375,54.726582796369726
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,14,876.4361669999516,99.43,75.8359375,55.00099329827948
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,15,882.6065990000416,98.86,75.703125,55.068088250589376
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,16,885.1639590000104,99.44,76.0234375,54.979223118415725
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,17,873.1503669999938,99.42,75.796875,54.944086722280154
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,18,877.6507810000567,98.29,76.08984375,54.67127445803952
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,19,876.0788630000889,98.85,75.82421875,55.16881550246802
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,20,859.4873170000028,99.42,75.65625,55.575558814204186
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,21,875.6797380000307,98.86,75.51171875,55.24114744752413
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,22,871.5033120000726,98.86,75.453125,55.189414414414415
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,23,866.0898319999433,99.43,75.90625,54.8974369594029
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,24,908.4921590000476,98.36,75.51171875,53.249836290640644
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,25,944.677587000001,98.94,77.57421875,56.514319055972855
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,26,884.5196940000051,98.87,75.6796875,54.22122888513513
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,27,886.1518850000039,98.31,75.75,55.042101871947914
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,28,983.3794560000797,99.49,77.828125,55.33435642545116
607cc1d6-752a-4593-b043-58314353ee45,t4g.medium,arm,cold,aes256_encrypt,c#,29,874.9398990000827,98.29,75.93359375,55.7269755284115
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,0,7027.052599000058,100.0,78.81640625,57.13160085964095
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,1,885.989947999974,99.44,75.80859375,55.34417415137693
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,2,884.3869330000871,98.87,75.8046875,57.12612234288355
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,3,928.8539960000435,98.91,76.546875,54.22994484890612
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,4,895.588097999962,98.33,76.10546875,54.48787555396246
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,5,884.4450179999512,99.43,75.79296875,55.406831642670156
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,6,869.8944379999602,98.85,75.796875,55.616410035817125
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,7,879.6208179999212,98.31,75.69921875,54.99798575321054
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,8,877.0642869999392,98.85,75.6640625,55.31292212087453
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,9,865.1011969999445,98.85,75.5546875,55.04297749492794
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,10,871.0316359999979,98.85,75.84765625,55.55583471369317
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,11,892.5971339999705,98.34,75.88671875,55.31539347950654
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,12,896.8502359999775,98.88,75.94921875,55.81574687690433
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,13,891.0120720000805,98.31,75.26171875,54.11101077373665
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,14,889.2716130000053,99.44,76.0,55.22360412132753
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,15,934.2124760000843,98.92,77.43359375,55.59687797194484
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,16,992.982010999981,98.48,75.8515625,53.98087368360806
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,17,930.7176570000593,98.39,76.4375,54.969987807289264
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,18,928.7040799999886,98.93,76.74609375,55.64748903163529
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,19,872.7533230000972,98.86,75.81640625,54.58317313553713
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,20,901.364797000042,97.8,75.87890625,54.45083909525638
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,21,885.3948589999163,98.86,75.53515625,54.54111950758859
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,22,870.5910669999639,98.86,75.58203125,54.94066590995902
03fe44f4-23ed-422a-a23c-0ec721e38aa7,t4g.medium,arm,warm,aes256_encrypt,c#,23,922.8911149999703,98.9,77.6484375,56.6080689363834
