start_type,language,architecture,operation,execution_time_ms,memory_size
cold,c#,x86,ecc256_sign,7102.2005,1500
cold,c#,x86,ecc256_sign,190.5616,1500
cold,c#,x86,ecc256_sign,146.3222,1500
cold,c#,x86,ecc256_sign,138.7627,1500
cold,c#,x86,ecc256_sign,148.2994,1500
cold,c#,x86,ecc256_sign,116.8443,1500
cold,c#,x86,ecc256_sign,128.1084,1500
cold,c#,x86,ecc256_sign,134.5152,1500
cold,c#,x86,ecc256_sign,141.9024,1500
cold,c#,x86,ecc256_sign,122.6662,1500
cold,c#,x86,ecc256_sign,115.0789,1500
cold,c#,x86,ecc256_sign,127.9933,1500
cold,c#,x86,ecc256_sign,110.2364,1500
cold,c#,x86,ecc256_sign,174.9963,1500
cold,c#,x86,ecc256_sign,111.1359,1500
cold,c#,x86,ecc256_sign,98.2899,1500
cold,c#,x86,ecc256_sign,120.848,1500
cold,c#,x86,ecc256_sign,117.4287,1500
cold,c#,x86,ecc256_sign,122.9895,1500
cold,c#,x86,ecc256_sign,153.0748,1500
cold,c#,x86,ecc256_sign,104.7762,1500
cold,c#,x86,ecc256_sign,118.8361,1500
cold,c#,x86,ecc256_sign,109.8172,1500
cold,c#,x86,ecc256_sign,104.7806,1500
cold,c#,x86,ecc256_sign,97.9563,1500
cold,c#,x86,ecc256_sign,108.0145,1500
cold,c#,x86,ecc256_sign,112.6387,1500
cold,c#,x86,ecc256_sign,98.5807,1500
cold,c#,x86,ecc256_sign,121.1187,1500
cold,c#,x86,ecc256_sign,87.1087,1500
cold,c#,x86,ecc256_verify,7431.7813,1500
cold,c#,x86,ecc256_verify,136.8473,1500
cold,c#,x86,ecc256_verify,121.9961,1500
cold,c#,x86,ecc256_verify,249.7066,1500
cold,c#,x86,ecc256_verify,181.8717,1500
cold,c#,x86,ecc256_verify,105.0749,1500
cold,c#,x86,ecc256_verify,95.6693,1500
cold,c#,x86,ecc256_verify,75.7759,1500
cold,c#,x86,ecc256_verify,78.1759,1500
cold,c#,x86,ecc256_verify,69.4359,1500
cold,c#,x86,ecc256_verify,123.5582,1500
cold,c#,x86,ecc256_verify,70.5457,1500
cold,c#,x86,ecc256_verify,188.3446,1500
cold,c#,x86,ecc256_verify,84.4963,1500
cold,c#,x86,ecc256_verify,106.8382,1500
cold,c#,x86,ecc256_verify,78.6002,1500
cold,c#,x86,ecc256_verify,73.349,1500
