id,instance_type,architecture,start_type,operation,language,iteration,execution_time_ms,avg_cpu_usage_percent,max_memory_usage_mb,avg_memory_usage_mb
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,0,10714.968193999994,25.75,77.6796875,28.63253673034455
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,1,760.1705990000482,26.57,75.1640625,55.44598297574627
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,2,762.1460810000826,27.09,74.80078125,55.34289337859377
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,3,755.5826599999591,26.9,75.29296875,55.58827212961849
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,4,741.2974400000394,27.15,75.171875,55.61437399517685
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,5,795.1454950000425,26.66,74.9140625,56.041942820829505
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,6,755.2287139999407,26.99,75.0390625,55.248971111009396
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,7,780.4450289999068,26.73,75.04296875,55.68270685214742
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,8,774.1836430000149,26.95,74.9296875,55.69654808484349
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,9,752.4279970000407,27.56,75.04296875,55.55468355628471
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,10,769.1840159999401,26.14,74.92578125,55.425280794865465
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,11,747.6654449999387,27.06,74.79296875,55.52682721694188
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,12,762.6945590000105,27.33,74.921875,55.94882452342387
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,13,754.7270300000264,26.62,74.921875,55.32987052389358
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,14,765.3537920000417,27.2,75.171875,55.14341933681073
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,15,759.949473000006,26.81,74.92578125,55.57514683409484
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,16,762.3022960000299,26.64,75.04296875,55.529120793723244
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,17,760.0422980000303,26.73,75.421875,55.64563012549702
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,18,750.7027890000018,27.91,75.05078125,55.250205843471086
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,19,748.4798970000384,26.48,74.90625,55.32363654337511
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,20,753.5231610000892,26.91,74.9140625,55.521617724668275
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,21,778.1159620000153,27.04,74.91796875,56.22643437353045
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,22,760.9241910000719,26.53,74.79296875,55.28728663340336
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,23,765.0194860000283,27.0,75.04296875,55.277742488872406
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,24,765.6715729999632,27.08,74.91796875,55.40806204780555
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,25,757.9790440000806,27.3,75.171875,55.66256689140162
24d3c7ff-1591-4853-925d-eeba2060e1a4,t2.2xlarge,x86,cold,aes256_decrypt,c#,26,787.1104749999631,26.63,75.17578125,56.08218513673936
